aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.5-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260410-1
aom 3.14.0-1
apache 2.4.67-1
appstream 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
archlinux-keyring 20260420-1
at 3.2.5-5
at-spi2-core 2.60.3-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
bluez 5.86-6
bluez-libs 5.86-6
bluez-obex 5.86-6
bolt 0.9.11-1
boost-libs 1.91.0-1
brltty 6.9.1-1
brotli 1.2.0-1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
capstone 5.0.7-2
cdparanoia 10.2-9
chromaprint 1.6.0-3
cifs-utils 7.5-1
cmake 4.3.2-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
composefs 1.0.8-1
containerd 2.3.0-1
coreutils 9.11-1
cpio 2.15-3
cppdap 1.58.0-3
cracklib 2.10.3-1
cryptsetup 2.8.6-1
cups-pk-helper 0.2.7-2
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.40-1
diffutils 3.12-2
discord 1:1.0.138-1
djvulibre 3.5.30-1
dmidecode 3.7-1
